Warp CUDA error 100: no CUDA-capable device is detected (in function init_cuda_driver, /builds/omniverse/warp/warp/native/cuda_util.cpp:308)
[probe] GT rotations orthonormalized (max element change 3.54e-08)
M-O/I1 ho3d/SM1: n=277 rot snapref/C1/C2 = 5.07/3.90/3.77  trans = 57.0/27.4/26.0  win 30%
| 설정 | seq | 새 KF | chain+R-online 기준 rot° | C1 rot° | C2 rot° | trans mm | C1 trans | C2 trans | rot<C1 KF 비율 |
|---|---|---|---|---|---|---|---|---|---|
| M-O/I0/chain | AP10 | 176 | 9.10 | 6.10 | 5.56 | 90.4 | 31.6 | 27.8 | 28 % |
| M-O/I0/chain | AP11 | 176 | 9.31 | 7.18 | 10.27 | 139.3 | 83.3 | 115.0 | 34 % |
| M-O/I0/chain | AP12 | 170 | 4.74 | 2.03 | 3.07 | 57.2 | 16.4 | 23.0 | 11 % |
| M-O/I0/chain | AP13 | 165 | 4.45 | 2.31 | 2.19 | 50.7 | 19.8 | 18.7 | 19 % |
| M-O/I0/chain | AP14 | 166 | 4.78 | 1.81 | 2.05 | 44.7 | 12.5 | 13.7 | 14 % |
| M-O/I0/chain | MPM10 | 236 | 9.12 | 5.82 | 4.85 | 108.2 | 31.0 | 30.6 | 23 % |
| M-O/I0/chain | MPM11 | 248 | 9.71 | 5.72 | 8.01 | 151.5 | 46.6 | 72.6 | 21 % |
| M-O/I0/chain | MPM12 | 228 | 6.19 | 4.13 | 5.87 | 68.2 | 19.7 | 25.7 | 24 % |
| M-O/I0/chain | MPM13 | 213 | 4.92 | 2.67 | 2.37 | 116.7 | 19.7 | 18.7 | 24 % |
| M-O/I0/chain | MPM14 | 224 | 7.14 | 2.73 | 2.60 | 105.5 | 21.4 | 20.0 | 11 % |
| M-O/I0/chain | SB11 | 218 | 10.50 | 4.58 | 3.77 | 204.1 | 45.6 | 39.9 | 21 % |
| M-O/I0/chain | SB13 | 206 | 6.65 | 3.25 | 3.03 | 105.1 | 24.0 | 21.9 | 27 % |
| M-O/I0/chain | SM1 | 277 | 5.70 | 3.90 | 3.77 | 78.3 | 27.4 | 26.0 | 32 % |
| M-O/I1/chain | AP10 | 176 | 6.89 | 6.10 | 5.56 | 64.5 | 31.6 | 27.8 | 34 % |
| M-O/I1/chain | AP11 | 176 | 7.53 | 7.18 | 10.27 | 107.8 | 83.3 | 115.0 | 44 % |
| M-O/I1/chain | AP12 | 170 | 3.33 | 2.03 | 3.07 | 36.8 | 16.4 | 23.0 | 29 % |
| M-O/I1/chain | AP13 | 165 | 3.11 | 2.31 | 2.19 | 38.4 | 19.8 | 18.7 | 33 % |
| M-O/I1/chain | AP14 | 166 | 3.71 | 1.81 | 2.05 | 33.9 | 12.5 | 13.7 | 23 % |
| M-O/I1/chain | MPM10 | 236 | 10.37 | 5.82 | 4.85 | 99.5 | 31.0 | 30.6 | 27 % |
| M-O/I1/chain | MPM11 | 248 | 6.81 | 5.72 | 8.01 | 98.4 | 46.6 | 72.6 | 34 % |
| M-O/I1/chain | MPM12 | 228 | 5.25 | 4.13 | 5.87 | 36.2 | 19.7 | 25.7 | 23 % |
| M-O/I1/chain | MPM13 | 213 | 3.43 | 2.67 | 2.37 | 45.0 | 19.7 | 18.7 | 35 % |
| M-O/I1/chain | MPM14 | 224 | 4.07 | 2.73 | 2.60 | 59.9 | 21.4 | 20.0 | 28 % |
| M-O/I1/chain | SB11 | 218 | 7.44 | 4.58 | 3.77 | 102.1 | 45.6 | 39.9 | 27 % |
| M-O/I1/chain | SB13 | 206 | 5.18 | 3.25 | 3.03 | 69.7 | 24.0 | 21.9 | 33 % |
| M-O/I1/chain | SM1 | 277 | 5.07 | 3.90 | 3.77 | 57.0 | 27.4 | 26.0 | 30 % |
| M-O/I1/chain | bleach0 | 32 | 21.02 | 19.91 | 24.37 | 312.5 | 214.0 | 208.7 | 25 % |
| M-O/I1/chain | bleach_hard_00_03_chaitanya | 35 | 9.13 | 4.90 | 4.20 | 140.2 | 32.7 | 29.7 | 17 % |
| M-O/I1/chain | cracker_box_reorient | 19 | 6.55 | 5.23 | 5.36 | 150.2 | 39.7 | 48.5 | 42 % |
| M-O/I1/chain | cracker_box_yalehand0 | 37 | 7.94 | 6.81 | 8.38 | 85.7 | 66.5 | 78.1 | 49 % |
| M-O/I1/chain | mustard0 | 36 | 4.38 | 6.40 | 4.62 | 86.1 | 68.4 | 44.7 | 75 % |
| M-O/I1/chain | mustard_easy_00_02 | 31 | 5.59 | 3.99 | 3.78 | 89.8 | 35.0 | 32.2 | 29 % |
| M-O/I1/chain | sugar_box1 | 42 | 8.12 | 5.91 | 6.27 | 102.6 | 61.8 | 67.9 | 48 % |
| M-O/I1/chain | sugar_box_yalehand0 | 42 | 7.86 | 6.91 | 7.04 | 152.2 | 71.9 | 68.2 | 38 % |
| M-O/I1/chain | tomato_soup_can_yalehand0 | 215 | 28.60 | 32.57 | 35.97 | 343.2 | 307.9 | 359.3 | 53 % |
| M-O/I2/chain | AP12 | 170 | 4.98 | 2.03 | 3.07 | 40.9 | 16.4 | 23.0 | 11 % |
| M-O/I2/chain | MPM10 | 236 | 10.56 | 5.82 | 4.85 | 95.0 | 31.0 | 30.6 | 24 % |
| M-O/I2/chain | mustard0 | 36 | 8.27 | 6.40 | 4.62 | 85.2 | 68.4 | 44.7 | 28 % |
| M-V/I0/chain | AP10 | 176 | 6.79 | 6.10 | 5.56 | 38.5 | 31.6 | 27.8 | 36 % |
| M-V/I0/chain | AP11 | 176 | 7.10 | 7.18 | 10.27 | 79.2 | 83.3 | 115.0 | 51 % |
| M-V/I0/chain | AP12 | 170 | 4.14 | 2.03 | 3.07 | 31.3 | 16.4 | 23.0 | 21 % |
| M-V/I0/chain | AP13 | 165 | 3.71 | 2.31 | 2.19 | 31.5 | 19.8 | 18.7 | 25 % |
| M-V/I0/chain | AP14 | 166 | 3.34 | 1.81 | 2.05 | 22.8 | 12.5 | 13.7 | 27 % |
