# A4 상관 — M-V/I1 B-ref 쌍 회전 오차 vs 변수 (Spearman ρ)

## all (n=203667)

| 변수 | 전체 ρ | ρ in swing [0,15) | ρ in swing [15,30) | ρ in swing [30,60) | ρ in swing [60,90) | ρ in swing [90,135) | ρ in swing [135,180] |
|---|---|---|---|---|---|---|---|
| swing | 0.69 | 0.26 (n=63004) | 0.17 (n=23432) | 0.21 (n=32832) | 0.12 (n=40261) | 0.06 (n=31586) | 0.14 (n=12552) |
| roll | 0.69 | 0.50 (n=63004) | 0.44 (n=23432) | 0.44 (n=32832) | 0.45 (n=40261) | 0.26 (n=31586) | 0.15 (n=12552) |
| min_mask | -0.09 | -0.03 (n=63004) | -0.05 (n=23432) | 0.06 (n=32832) | -0.14 (n=40261) | -0.31 (n=31586) | -0.29 (n=12552) |
| mask_ratio | -0.47 | -0.42 (n=63004) | -0.18 (n=23432) | -0.07 (n=32832) | -0.02 (n=40261) | -0.07 (n=31586) | -0.01 (n=12552) |
| conf_mean | -0.41 | -0.39 (n=63004) | -0.40 (n=23432) | -0.30 (n=32832) | -0.31 (n=40261) | -0.28 (n=31586) | -0.33 (n=12552) |
| T3 | 0.14 | 0.02 (n=63004) | 0.03 (n=23432) | 0.03 (n=32832) | 0.27 (n=40261) | 0.36 (n=31586) | 0.43 (n=12552) |

## ho3d (n=180704)

| 변수 | 전체 ρ | ρ in swing [0,15) | ρ in swing [15,30) | ρ in swing [30,60) | ρ in swing [60,90) | ρ in swing [90,135) | ρ in swing [135,180] |
|---|---|---|---|---|---|---|---|
| swing | 0.68 | 0.19 (n=53164) | 0.17 (n=17771) | 0.21 (n=28691) | 0.11 (n=38761) | 0.06 (n=29808) | 0.14 (n=12509) |
| roll | 0.68 | 0.48 (n=53164) | 0.46 (n=17771) | 0.46 (n=28691) | 0.46 (n=38761) | 0.25 (n=29808) | 0.16 (n=12509) |
| min_mask | -0.18 | 0.00 (n=53164) | 0.12 (n=17771) | -0.02 (n=28691) | -0.16 (n=38761) | -0.29 (n=29808) | -0.29 (n=12509) |
| mask_ratio | -0.47 | -0.38 (n=53164) | -0.15 (n=17771) | -0.08 (n=28691) | -0.03 (n=38761) | -0.08 (n=29808) | -0.02 (n=12509) |
| conf_mean | -0.47 | -0.41 (n=53164) | -0.40 (n=17771) | -0.34 (n=28691) | -0.33 (n=38761) | -0.30 (n=29808) | -0.33 (n=12509) |
| T3 | 0.18 | 0.00 (n=53164) | -0.09 (n=17771) | 0.07 (n=28691) | 0.27 (n=38761) | 0.34 (n=29808) | 0.44 (n=12509) |

## ycb (n=22963)

| 변수 | 전체 ρ | ρ in swing [0,15) | ρ in swing [15,30) | ρ in swing [30,60) | ρ in swing [60,90) | ρ in swing [90,135) | ρ in swing [135,180] |
|---|---|---|---|---|---|---|---|
| swing | 0.65 | 0.61 (n=9840) | 0.12 (n=5661) | 0.09 (n=4141) | 0.24 (n=1500) | 0.05 (n=1778) | 0.07 (n=43) |
| roll | 0.64 | 0.59 (n=9840) | 0.37 (n=5661) | 0.30 (n=4141) | 0.02 (n=1500) | 0.14 (n=1778) | 0.02 (n=43) |
| min_mask | -0.32 | -0.27 (n=9840) | -0.39 (n=5661) | -0.08 (n=4141) | -0.37 (n=1500) | -0.26 (n=1778) | 0.26 (n=43) |
| mask_ratio | -0.53 | -0.60 (n=9840) | -0.08 (n=5661) | -0.35 (n=4141) | -0.29 (n=1500) | 0.22 (n=1778) | 0.28 (n=43) |
| conf_mean | -0.24 | -0.34 (n=9840) | -0.28 (n=5661) | -0.30 (n=4141) | -0.06 (n=1500) | -0.06 (n=1778) | 0.44 (n=43) |
| T3 | 0.05 | 0.11 (n=9840) | 0.27 (n=5661) | -0.07 (n=4141) | 0.40 (n=1500) | 0.56 (n=1778) | -0.12 (n=43) |

A-STAGE-END
