prior AP10: 19989 Gaussians, status refined
prior AP11: 19636 Gaussians, status refined
prior AP12: 19999 Gaussians, status refined
prior AP13: 19969 Gaussians, status refined
prior AP14: 19666 Gaussians, status refined
prior MPM10: 19989 Gaussians, status refined
prior MPM11: 20000 Gaussians, status refined
prior MPM12: 19910 Gaussians, status refined
prior MPM13: 19988 Gaussians, status refined
prior MPM14: 19995 Gaussians, status refined
prior SB11: 19998 Gaussians, status refined
prior SB13: 19997 Gaussians, status refined
prior SM1: 19997 Gaussians, status refined
