START A models=MD-gt,MD-map seqs=['AP10', 'AP11', 'AP12', 'AP13', 'AP14', 'MPM10', 'MPM11', 'MPM12', 'MPM13', 'MPM14', 'SB11', 'SB13', 'SM1'] every=1 2026-09-26 00:34:01
  A MD-gt AP10 1/177 2.7s/kf | E-I=2.98 E-L=4.87 E-V2=175.57 E-V5b=172.27 E-V5d=173.27 E-V5x2=29.69 E-VI=1.03 | rot0 0.00
  A MD-gt AP10 26/177 2.4s/kf | E-I=3.11 E-L=4.59 E-V2=114.65 E-V5b=82.27 E-V5d=82.51 E-V5x2=17.90 E-VI=41.14 | rot0 1.47
  A MD-gt AP10 51/177 2.6s/kf | E-I=2.47 E-L=6.71 E-V2=173.57 E-V5b=104.64 E-V5d=104.81 E-V5x2=68.87 E-VI=100.40 | rot0 6.72
  A MD-gt AP10 76/177 2.8s/kf | E-I=2.38 E-L=8.03 E-V2=166.69 E-V5b=151.33 E-V5d=151.56 E-V5x2=18.16 E-VI=39.39 | rot0 7.32
  A MD-gt AP10 101/177 2.6s/kf | E-I=2.78 E-L=5.21 E-V2=64.46 E-V5b=55.24 E-V5d=55.26 E-V5x2=35.64 E-VI=40.97 | rot0 2.91
  A MD-gt AP10 126/177 2.6s/kf | E-I=4.71 E-L=5.63 E-V2=161.21 E-V5b=143.65 E-V5d=143.72 E-V5x2=14.28 E-VI=47.73 | rot0 6.58
  A MD-gt AP10 151/177 2.5s/kf | E-I=3.09 E-L=6.76 E-V2=89.30 E-V5b=22.72 E-V5d=22.62 E-V5x2=16.54 E-VI=34.23 | rot0 6.23
  A MD-gt AP10 176/177 2.6s/kf | E-I=2.53 E-L=19.70 E-V2=148.06 E-V5b=126.59 E-V5d=126.54 E-V5x2=23.84 E-VI=41.05 | rot0 18.81
DONE A MD-gt AP10 jobs 177 454s | E-I=2.84/50% E-L=6.91/22% E-V2=150.68/0% E-V5b=99.06/0% E-V5d=99.09/0% E-V5x2=23.99/0% E-VI=47.59/6% | rot0 6.10
  A MD-gt AP11 1/177 2.5s/kf | E-I=3.69 E-L=5.99 E-V2=90.31 E-V5b=105.97 E-V5d=106.02 E-V5x2=170.88 E-VI=170.88 | rot0 0.00
  A MD-gt AP11 26/177 2.5s/kf | E-I=2.21 E-L=14.35 E-V2=99.44 E-V5b=94.22 E-V5d=94.22 E-V5x2=137.02 E-VI=131.52 | rot0 2.84
  A MD-gt AP11 51/177 2.6s/kf | E-I=2.11 E-L=19.94 E-V2=96.26 E-V5b=34.35 E-V5d=34.17 E-V5x2=44.07 E-VI=44.07 | rot0 21.77
  A MD-gt AP11 76/177 2.5s/kf | E-I=1.86 E-L=7.29 E-V2=14.43 E-V5b=13.37 E-V5d=13.34 E-V5x2=8.84 E-VI=8.84 | rot0 5.76
  A MD-gt AP11 101/177 2.5s/kf | E-I=2.08 E-L=9.20 E-V2=71.55 E-V5b=60.57 E-V5d=60.78 E-V5x2=18.43 E-VI=18.43 | rot0 7.38
  A MD-gt AP11 126/177 2.6s/kf | E-I=2.88 E-L=10.59 E-V2=11.89 E-V5b=18.14 E-V5d=18.10 E-V5x2=18.50 E-VI=18.50 | rot0 7.50
  A MD-gt AP11 151/177 2.6s/kf | E-I=1.74 E-L=3.83 E-V2=2.77 E-V5b=14.95 E-V5d=15.02 E-V5x2=6.58 E-VI=6.60 | rot0 6.67
  A MD-gt AP11 176/177 2.5s/kf | E-I=1.65 E-L=4.99 E-V2=15.04 E-V5b=8.33 E-V5d=8.31 E-V5x2=5.27 E-VI=5.69 | rot0 7.45
DONE A MD-gt AP11 jobs 177 448s | E-I=1.99/44% E-L=7.95/11% E-V2=28.71/0% E-V5b=24.08/0% E-V5d=24.17/0% E-V5x2=15.02/0% E-VI=16.94/3% | rot0 7.16
  A MD-gt AP12 1/171 2.7s/kf | E-I=2.53 E-L=21.12 E-V2=173.08 E-V5b=144.38 E-V5d=144.73 E-V5x2=144.63 E-VI=144.63 | rot0 0.00
  A MD-gt AP12 26/171 2.6s/kf | E-I=2.11 E-L=2.99 E-V2=117.05 E-V5b=90.92 E-V5d=91.51 E-V5x2=34.91 E-VI=47.43 | rot0 1.94
  A MD-gt AP12 51/171 2.5s/kf | E-I=2.07 E-L=4.09 E-V2=8.76 E-V5b=16.83 E-V5d=16.91 E-V5x2=8.33 E-VI=15.11 | rot0 2.17
  A MD-gt AP12 76/171 2.6s/kf | E-I=2.18 E-L=5.78 E-V2=29.03 E-V5b=33.42 E-V5d=33.83 E-V5x2=9.56 E-VI=9.79 | rot0 3.30
  A MD-gt AP12 101/171 2.5s/kf | E-I=1.81 E-L=4.94 E-V2=34.58 E-V5b=30.59 E-V5d=30.72 E-V5x2=11.64 E-VI=11.64 | rot0 3.40
  A MD-gt AP12 126/171 2.5s/kf | E-I=1.29 E-L=9.71 E-V2=7.56 E-V5b=23.91 E-V5d=23.79 E-V5x2=20.22 E-VI=22.11 | rot0 1.82
  A MD-gt AP12 151/171 2.5s/kf | E-I=1.47 E-L=6.07 E-V2=108.45 E-V5b=38.70 E-V5d=38.65 E-V5x2=13.34 E-VI=14.59 | rot0 1.48
DONE A MD-gt AP12 jobs 171 443s | E-I=1.76/84% E-L=5.78/25% E-V2=69.67/2% E-V5b=48.77/0% E-V5d=48.82/0% E-V5x2=13.34/0% E-VI=17.50/11% | rot0 2.03
  A MD-gt AP13 1/166 2.5s/kf | E-I=2.13 E-L=0.00 E-V2=68.98 E-V5b=144.53 E-V5d=145.02 E-V5x2=4.51 E-VI=2.04 | rot0 0.00
  A MD-gt AP13 26/166 2.6s/kf | E-I=4.33 E-L=9.52 E-V2=95.40 E-V5b=47.35 E-V5d=47.21 E-V5x2=36.79 E-VI=56.38 | rot0 2.13
  A MD-gt AP13 51/166 2.5s/kf | E-I=3.47 E-L=3.39 E-V2=109.39 E-V5b=110.54 E-V5d=110.47 E-V5x2=13.42 E-VI=35.13 | rot0 3.50
  A MD-gt AP13 76/166 2.5s/kf | E-I=3.16 E-L=5.44 E-V2=91.21 E-V5b=36.07 E-V5d=36.20 E-V5x2=60.40 E-VI=60.40 | rot0 4.25
  A MD-gt AP13 101/166 2.6s/kf | E-I=2.21 E-L=7.77 E-V2=97.20 E-V5b=86.56 E-V5d=86.72 E-V5x2=86.72 E-VI=98.03 | rot0 2.15
  A MD-gt AP13 126/166 2.6s/kf | E-I=2.25 E-L=2.91 E-V2=108.29 E-V5b=85.16 E-V5d=85.33 E-V5x2=92.30 E-VI=92.30 | rot0 2.41
  A MD-gt AP13 151/166 2.6s/kf | E-I=1.82 E-L=2.14 E-V2=3.64 E-V5b=6.23 E-V5d=6.17 E-V5x2=3.92 E-VI=6.20 | rot0 1.79
DONE A MD-gt AP13 jobs 166 421s | E-I=2.77/54% E-L=3.84/31% E-V2=89.94/2% E-V5b=56.66/1% E-V5d=56.67/1% E-V5x2=39.68/1% E-VI=63.83/5% | rot0 2.31
  A MD-gt AP14 1/167 2.6s/kf | E-I=3.95 E-L=4.16 E-V2=44.56 E-V5b=156.82 E-V5d=157.18 E-V5x2=8.50 E-VI=3.55 | rot0 0.00
  A MD-gt AP14 26/167 2.5s/kf | E-I=3.64 E-L=6.41 E-V2=96.35 E-V5b=49.38 E-V5d=49.55 E-V5x2=30.70 E-VI=40.42 | rot0 1.92
  A MD-gt AP14 51/167 2.5s/kf | E-I=2.18 E-L=3.45 E-V2=118.73 E-V5b=66.42 E-V5d=66.85 E-V5x2=22.52 E-VI=24.77 | rot0 3.07
  A MD-gt AP14 76/167 2.7s/kf | E-I=1.45 E-L=2.73 E-V2=66.15 E-V5b=41.54 E-V5d=41.48 E-V5x2=14.74 E-VI=56.43 | rot0 3.61
  A MD-gt AP14 101/167 1.5s/kf | E-I=1.21 E-L=13.69 E-V2=71.97 E-V5b=52.12 E-V5d=52.48 E-V5x2=86.40 E-VI=75.94 | rot0 2.18
  A MD-gt AP14 126/167 2.6s/kf | E-I=1.87 E-L=4.97 E-V2=123.64 E-V5b=112.33 E-V5d=112.41 E-V5x2=75.46 E-VI=75.46 | rot0 1.56
  A MD-gt AP14 151/167 2.6s/kf | E-I=2.01 E-L=2.97 E-V2=126.57 E-V5b=96.80 E-V5d=96.90 E-V5x2=61.88 E-VI=89.83 | rot0 1.20
DONE A MD-gt AP14 jobs 167 418s | E-I=1.92/76% E-L=4.69/31% E-V2=104.95/0% E-V5b=75.91/0% E-V5d=76.04/0% E-V5x2=40.42/0% E-VI=54.54/7% | rot0 1.80
