START B models=MD-gt,MD-prior seqs=['AP12', 'MPM12', 'SM1'] every=1 2026-09-26 02:21:08
  B MD-gt AP12 1/240 4.7s/kf | E-I=1.73 E-L=5.00 E-V2=97.00 E-V5b=148.08 E-V5b_r20=118.67 E-V5d=148.39 E-V5d_r20=118.86 E-V5x2=8.94 E-V5x2_r20=3.74 E-VI=8.94 E-VI_r20=3.74 | rot0 5.00
  B MD-gt AP12 26/240 4.2s/kf | E-I=1.94 E-L=9.92 E-V2=30.45 E-V5b=46.38 E-V5b_r20=102.72 E-V5d=46.45 E-V5d_r20=102.74 E-V5x2=18.48 E-V5x2_r20=86.94 E-VI=27.57 E-VI_r20=86.94 | rot0 5.00
  B MD-gt AP12 51/240 3.9s/kf | E-I=1.81 E-L=10.00 E-V2=122.26 E-V5b=55.32 E-V5b_r20=100.59 E-V5d=55.20 E-V5d_r20=100.79 E-V5x2=24.52 E-V5x2_r20=43.82 E-VI=68.97 E-VI_r20=43.82 | rot0 5.00
  B MD-gt AP12 76/240 4.3s/kf | E-I=1.60 E-L=10.64 E-V2=64.42 E-V5b=25.12 E-V5b_r20=64.53 E-V5d=25.12 E-V5d_r20=64.52 E-V5x2=19.85 E-V5x2_r20=66.43 E-VI=14.20 E-VI_r20=87.88 | rot0 10.00
  B MD-gt AP12 101/240 4.4s/kf | E-I=2.02 E-L=18.93 E-V2=102.08 E-V5b=57.83 E-V5b_r20=79.50 E-V5d=57.93 E-V5d_r20=79.45 E-V5x2=23.63 E-V5x2_r20=48.24 E-VI=35.74 E-VI_r20=59.61 | rot0 20.00
  B MD-gt AP12 126/240 4.7s/kf | E-I=1.58 E-L=20.00 E-V2=87.33 E-V5b=41.60 E-V5b_r20=75.93 E-V5d=41.66 E-V5d_r20=76.23 E-V5x2=30.46 E-V5x2_r20=79.09 E-VI=34.36 E-VI_r20=82.07 | rot0 20.00
  B MD-gt AP12 151/240 4.9s/kf | E-I=1.78 E-L=30.00 E-V2=20.01 E-V5b=34.84 E-V5b_r20=79.13 E-V5d=35.00 E-V5d_r20=79.19 E-V5x2=13.64 E-V5x2_r20=62.98 E-VI=21.37 E-VI_r20=67.21 | rot0 30.00
  B MD-gt AP12 176/240 4.6s/kf | E-I=1.93 E-L=45.00 E-V2=52.91 E-V5b=22.37 E-V5b_r20=56.63 E-V5d=22.44 E-V5d_r20=56.65 E-V5x2=26.62 E-V5x2_r20=60.26 E-VI=74.38 E-VI_r20=60.26 | rot0 45.00
  B MD-gt AP12 201/240 4.7s/kf | E-I=1.92 E-L=45.00 E-V2=34.25 E-V5b=51.16 E-V5b_r20=62.29 E-V5d=50.78 E-V5d_r20=62.32 E-V5x2=38.63 E-V5x2_r20=109.02 E-VI=61.79 E-VI_r20=110.92 | rot0 45.00
  B MD-gt AP12 226/240 4.6s/kf | E-I=4.35 E-L=60.00 E-V2=38.90 E-V5b=55.43 E-V5b_r20=74.57 E-V5d=55.51 E-V5d_r20=74.30 E-V5x2=36.52 E-V5x2_r20=69.71 E-VI=75.88 E-VI_r20=83.30 | rot0 60.00
DONE B MD-gt AP12 jobs 240 1080s | E-I=1.92/66% E-L=20.40/5% E-V2=54.21/0% E-V5b=47.98/0% E-V5b_r20=75.37/0% E-V5d=48.07/0% E-V5d_r20=75.49/0% E-V5x2=23.65/0% E-V5x2_r20=67.20/0% E-VI=38.83/6% E-VI_r20=77.76/5% | rot0 25.00
  B MD-gt MPM12 1/240 4.2s/kf | E-I=3.89 E-L=0.71 E-V2=1.38 E-V5b=71.24 E-V5b_r20=149.36 E-V5d=71.29 E-V5d_r20=149.58 E-V5x2=9.49 E-V5x2_r20=19.22 E-VI=9.49 E-VI_r20=19.22 | rot0 5.00
  B MD-gt MPM12 26/240 4.3s/kf | E-I=2.34 E-L=2.34 E-V2=18.41 E-V5b=64.02 E-V5b_r20=38.82 E-V5d=64.00 E-V5d_r20=38.71 E-V5x2=9.20 E-V5x2_r20=23.06 E-VI=11.63 E-VI_r20=23.06 | rot0 5.00
  B MD-gt MPM12 51/240 3.3s/kf | E-I=2.71 E-L=2.69 E-V2=6.65 E-V5b=63.39 E-V5b_r20=64.40 E-V5d=63.41 E-V5d_r20=64.36 E-V5x2=13.73 E-V5x2_r20=16.93 E-VI=17.60 E-VI_r20=14.23 | rot0 5.00
