model,seq,kf,iou,absdiff_med_mm,signed_med_mm,n_px,occ_ratio
MD-gt,AP12,0000,0.9828835181742419,1.1142939329147339,0.4345923662185669,58762,0.993843972088376
MD-gt,AP12,0023,0.9377929069031032,0.8850991725921631,-0.11436641216278076,56124,0.966278415937023
MD-gt,AP12,0044,0.9196847006038629,1.4506876468658447,1.324772834777832,56541,0.9683792598194451
MD-gt,AP12,0050,0.9230721334952212,1.3068169355392456,0.043332576751708984,56418,0.9677933165557007
MD-gt,AP12,0066,0.9103696688351007,1.5165507793426514,0.2092421054840088,56989,0.9690980668288312
MD-gt,AP12,0075,0.9193329485359499,1.2704432010650635,0.4451274871826172,57365,0.967521148833416
MD-gt,AP12,0077,0.9261479249806773,2.3717880249023438,1.3239681720733643,57031,0.9588693894574738
MD-gt,AP12,0081,0.9207944071728635,1.2964904308319092,0.6185472011566162,56577,0.9655299627871167
MD-gt,AP12,0086,0.9238010072010167,1.1165440082550049,0.19122660160064697,57126,0.9722557297949337
MD-gt,AP12,0089,0.9261430063444062,2.7984678745269775,2.4812519550323486,57642,0.9700892857142858
MD-gt,AP12,0094,0.9505900397533414,1.2647360563278198,1.2241005897521973,59380,0.979715347714204
MD-gt,AP12,0099,0.9518269320624241,0.9911060333251953,0.9426474571228027,60111,0.9878652327020082
MD-gt,AP12,0103,0.9697314130011677,1.239478588104248,1.2299418449401855,61229,1.0041824432439284
MD-gt,AP12,0108,0.9665060793760036,1.5346109867095947,1.4852583408355713,61398,1.0140346480373421
MD-gt,AP12,0114,0.9700860456416012,1.4517903327941895,1.4288127422332764,61567,1.0166817297529143
MD-gt,AP12,0120,0.9747868381728149,0.970497727394104,0.9195953607559204,61538,1.0173456254302733
MD-gt,AP12,0127,0.9754682218450335,0.6238967180252075,0.45222043991088867,60868,1.015526709196134
MD-gt,AP12,0134,0.9757285763848733,0.6102919578552246,0.3992021083831787,60477,1.0124718389704475
MD-gt,AP12,0180,0.9583147071971391,0.8997619152069092,-0.026658177375793457,67410,1.0076764436296974
MD-gt,AP12,0187,0.9572243211501181,0.8543729782104492,0.3001987934112549,66401,1.0018090510441842
MD-gt,AP12,0190,0.951117473731028,0.9655654430389404,0.24488568305969238,66885,0.9977941281113467
MD-gt,AP12,0195,0.9434506876118843,1.0148584842681885,0.32332539558410645,66615,0.9956253473360218
MD-gt,AP12,0202,0.9478952382267262,1.1583268642425537,0.5104541778564453,66161,0.9944021938876481
MD-gt,AP12,0205,0.9621780821917808,1.2831687927246094,0.43022632598876953,67828,0.9943610592854557
MD-gt,AP12,0209,0.9629141233567612,1.5954971313476562,-0.7359981536865234,67984,0.9945023068210073
MD-gt,AP12,0212,0.9701119956820942,1.3048052787780762,-0.2902895212173462,68600,0.9947945841815474
MD-gt,AP12,0214,0.9848746932700431,0.8074194192886353,-0.15832483768463135,70430,0.9968433832456496
MD-gt,AP12,0219,0.9724649826409674,0.6650537252426147,0.22426247596740723,70210,0.9910841367457099
MD-gt,AP12,0223,0.9330370485880992,1.7184019088745117,1.668587327003479,68734,0.9560666429970939
MD-gt,AP12,0226,0.9249439880507841,1.2193918228149414,1.2047737836837769,67490,0.9490365309900655
MD-gt,AP12,0228,0.913382472536693,0.9451508522033691,0.6132423877716064,66543,0.9586141282803456
MD-gt,AP12,0233,0.9008103340804499,1.7423927783966064,0.4398524761199951,65647,0.9591688879775818
MD-gt,AP12,0238,0.9162957586381627,1.8976926803588867,0.4114210605621338,64656,0.967159185165399
MD-gt,AP12,0241,0.9392222837429192,1.2603402137756348,-0.29227137565612793,64205,0.9812741144730353
MD-gt,AP12,0243,0.9473668901525618,1.0048449039459229,-0.23987889289855957,64011,0.9862784074052098
MD-gt,AP12,0245,0.951379723600176,2.4330763816833496,-2.1734089851379395,62062,0.9672865751078212
MD-gt,AP12,0248,0.9400455867326888,1.4557242393493652,0.11035799980163574,59481,0.9677295918367347
MD-gt,AP12,0251,0.9454452208474903,1.1150240898132324,0.5128383636474609,58751,0.9710323774883902
MD-gt,AP12,0255,0.9396263333964527,2.138197422027588,1.397550106048584,59211,0.9783046046384369
MD-gt,AP12,0260,0.9628269633426044,1.4515817165374756,1.2461692094802856,61300,0.9845021248360953
MD-gt,AP12,0263,0.9506716949126872,1.74790620803833,0.606924295425415,61133,0.9894193787553482
MD-gt,AP12,0266,0.9646371926445361,1.1328011751174927,0.8299648761749268,61360,0.9900920675568563
MD-gt,AP12,0270,0.9627767354596622,1.6245841979980469,-0.15804171562194824,59893,0.9921999969531238
MD-gt,AP12,0276,0.9647442580952664,1.109480857849121,0.2926439046859741,58506,0.994059046726429
MD-gt,AP12,0280,0.9664186754928092,1.0027885437011719,0.6584525108337402,56861,0.9977533439466754
MD-gt,AP12,0284,0.9668409325896693,0.9910166263580322,0.40155649185180664,55469,0.9958770503916063
MD-gt,AP12,0295,0.9339549792379981,1.9173920154571533,0.950932502746582,56187,0.9999849327246154
MD-gt,AP12,0302,0.9515714242995126,1.7959177494049072,1.0458827018737793,56124,1.0005671019557354
MD-gt,AP12,0308,0.9634163240796342,0.9697675704956055,-0.24458765983581543,60130,0.9930292894876684
MD-gt,AP12,0315,0.9640102008288174,0.7740259170532227,-0.04073977470397949,59911,0.9929160601649685
MD-gt,AP12,0325,0.968908466936434,0.9049773216247559,-0.17212331295013428,56164,0.9969694870640391
MD-gt,AP12,0338,0.9611637826661948,1.4078766107559204,-0.7362067699432373,50558,0.9967949325797948
MD-gt,AP12,0360,0.9672683838403299,1.150578260421753,-0.7280111312866211,48997,0.9968126087721699
MD-gt,AP12,0365,0.9572885145423357,1.2983381748199463,0.028133392333984375,48545,0.9990944525375015
MD-gt,AP12,0368,0.9666601714731099,1.0539889335632324,-0.476837158203125,48529,1.0004162207158995
MD-gt,AP12,0373,0.962613543331644,1.0894834995269775,-0.2976655960083008,48357,0.9995233839737862
MD-gt,AP12,0378,0.9464108694384512,1.4684796333312988,0.4831254482269287,47539,0.9928554370323197
MD-gt,AP12,0380,0.9587309020663818,1.175522804260254,-0.2568662166595459,47157,0.9950909271588989
MD-gt,AP12,0384,0.9487347505155433,1.727074384689331,0.9758621454238892,47820,0.9907857691323266
MD-gt,AP12,0386,0.9477058477646478,1.51747465133667,0.011414289474487305,46701,0.9897494525936404
MD-gt,AP12,0391,0.9449206672467739,1.3899356126785278,0.8668750524520874,48408,0.978547885864959
MD-gt,AP12,0396,0.9484571594329019,1.2954920530319214,0.44795870780944824,50930,0.9814708973248032
MD-gt,AP12,0400,0.948608895977317,1.924082636833191,0.7138997316360474,52146,0.9910190483088288
MD-gt,AP12,0405,0.9463530472162518,1.5606284141540527,0.9722411632537842,53597,0.9884013316333758
MD-gt,AP12,0411,0.9493294856560855,2.2238640785217285,1.1652559041976929,55444,0.9859400940785833
MD-gt,AP12,0417,0.9435261937722034,1.9437074661254883,1.097559928894043,55823,0.9846714582552714
MD-gt,AP12,0428,0.945007476324971,1.6097873449325562,0.9235590696334839,56092,0.9836657234356202
MD-gt,AP12,0440,0.9441358227598449,1.7618536949157715,1.1664032936096191,56527,0.9874491750394838
MD-gt,AP12,0457,0.9502361840584018,1.778244972229004,0.8265674114227295,56505,0.9721906734366649
MD-gt,AP12,0489,0.947413460409081,1.7289221286773682,0.626489520072937,55382,0.9674187587937143
MD-gt,AP12,0643,0.9727909437511547,0.809401273727417,0.04756450653076172,56751,0.9817111234836599
MD-gt,AP12,0651,0.9702828793902158,0.8866935968399048,-0.4665553569793701,58310,0.978734285808559
MD-gt,AP12,0656,0.945918141242759,1.0588914155960083,-0.09998679161071777,58358,0.9868616677440207
MD-gt,AP12,0660,0.9329858409833515,0.8938312530517578,-0.11676549911499023,58853,0.9834437614752135
MD-gt,AP12,0662,0.9103191456621427,0.7897168397903442,-0.11567771434783936,58770,0.9800944238866913
MD-gt,AP12,0666,0.9177862689510662,0.873267650604248,-0.10246038436889648,59137,0.9862447540172659
MD-gt,AP12,0670,0.9303871664352923,0.8791089057922363,-0.16885995864868164,59883,0.9907894946152744
MD-gt,AP12,0674,0.9395903592091829,0.9684860706329346,-0.35400688648223877,60464,0.9947656473732778
MD-gt,AP12,0678,0.9512694961125103,0.9192675352096558,-0.34120678901672363,60556,0.9979336857280153
MD-gt,AP12,0682,0.939662032486074,1.5891343355178833,-0.8335262537002563,59432,1.0075093260985417
MD-gt,AP12,0688,0.9636413209090472,0.7194280624389648,0.406801700592041,57586,1.0228162638161482
MD-gt,AP12,0694,0.9622834178799657,0.8114874362945557,0.6756782531738281,53803,1.0297800569023972
MD-gt,AP12,0697,0.9627754716344369,0.8439421653747559,0.6336718797683716,51176,1.022605157453616
MD-gt,AP12,0701,0.9606097581934109,0.9296238422393799,0.5966722965240479,48505,1.0183288218955115
MD-gt,AP12,0706,0.9628465024768998,1.0355710983276367,0.9404122829437256,46052,1.0156035789017968
MD-gt,AP12,0718,0.964716841244796,1.0712593793869019,0.9394288063049316,44938,1.0196591886187758
MD-gt,AP12,0723,0.971916146226978,0.8171796798706055,0.6765425205230713,45259,1.0154906385314386
MD-gt,AP12,0728,0.9481484522538797,0.7664859294891357,0.47770142555236816,44343,0.997348261638185
MD-gt,AP12,0731,0.9106301347011969,1.052066683769226,0.8377134799957275,42762,0.968421052631579
MD-gt,AP12,0734,0.8853307110179999,1.2469291687011719,0.4814267158508301,40794,0.938072739259422
MD-gt,AP12,0737,0.8760969220694171,1.7952919006347656,1.589059829711914,39239,0.9191639498012595
MD-gt,AP12,0739,0.847516255445848,1.8771886825561523,1.7496943473815918,37715,0.8923846257344037
MD-gt,AP12,0742,0.8269082921471719,1.6089975833892822,1.0617375373840332,37007,0.8721862056546011
MD-gt,AP12,0746,0.8111990100322624,0.9496062994003296,0.49614906311035156,36050,0.8382936730437123
MD-gt,AP12,0752,0.7818471337579618,1.3982951641082764,0.7509440183639526,34530,0.8063763956773239
MD-gt,AP12,0758,0.7522881150342942,2.219036102294922,1.2010931968688965,33172,0.7864064572700497
MD-gt,AP12,0763,0.7438570200762501,2.0577163696289062,1.5498548746109009,32680,0.7803050755939525
MD-gt,AP12,0768,0.7305246074217037,2.394735813140869,1.345515251159668,32022,0.7821569734613213
MD-gt,AP12,0775,0.7210373035247762,2.3050904273986816,1.7583072185516357,32322,0.7942712984461511
MD-gt,AP12,0784,0.7361093038386467,2.3183374404907227,0.6802678108215332,32594,0.7671913287269034
MD-gt,AP12,0789,0.7418428333086946,1.4829039573669434,-0.46674907207489014,33992,0.7702940545181369
MD-gt,AP12,0795,0.7615688722430295,2.0367650985717773,-1.0727643966674805,35712,0.7874546068744194
MD-gt,AP12,0799,0.8027994976299477,2.4248063564300537,-0.04947185516357422,38723,0.8310632869722656
MD-gt,AP12,0805,0.8427896458425878,1.173466444015503,-0.3618299961090088,41149,0.8615836494921062
MD-gt,AP12,0810,0.8817217074522848,1.658603549003601,0.7504969835281372,43924,0.9058332832019892
MD-gt,AP12,0815,0.9080664410228317,1.2275725603103638,-0.10372698307037354,45932,0.9336016495499425
MD-gt,AP12,0819,0.9280103699117783,1.2992024421691895,-0.7468611001968384,47684,0.9562827584853065
MD-gt,AP12,0824,0.9485073207834189,0.9528398513793945,-0.4004538059234619,49145,0.9762400678855203
MD-gt,AP12,0828,0.9502210547734882,1.2108683586120605,-0.7303059101104736,50571,0.9807797087834664
MD-gt,AP12,0832,0.9519903801285042,1.3644099235534668,-0.18690526485443115,51648,0.9811829426015993
MD-gt,AP12,0838,0.9475751995089011,0.9319931268692017,-0.022277235984802246,52476,0.9792346220344723
MD-gt,AP12,0844,0.9474887012876269,1.2659430503845215,-0.3991425037384033,53555,0.9799732977303071
MD-gt,AP12,0851,0.9474834061572329,1.2997984886169434,0.6445646286010742,54360,0.9832036955266465
MD-gt,AP12,0865,0.9663986402562594,1.2941062450408936,-0.7096230983734131,56983,0.9823382100962172
MD-gt,AP12,0870,0.9734281437125748,1.1799633502960205,-0.6519407033920288,58074,0.982946649008355
MD-gt,AP12,0882,0.9719839997509689,1.4322549104690552,-1.0545402765274048,60666,0.9830336041069947
MD-gt,AP12,0888,0.9730730393806799,1.5072226524353027,-1.0535717010498047,61471,0.9869961789720202
MD-gt,AP12,0896,0.9743003392294645,1.4210045337677002,-1.0252892971038818,62293,0.9856975309582198
MD-gt,AP12,0905,0.9693975233919031,1.0377764701843262,-0.49461424350738525,60392,0.9814515627912757
MD-gt,AP12,0913,0.9700113900547659,1.0237395763397217,-0.5803406238555908,59585,0.9819169309013279
MD-gt,AP12,0920,0.9651513476812303,1.024484634399414,-0.4741251468658447,59755,0.9759466539652298
MD-gt,AP12,0958,0.9652072387624051,0.9196102619171143,-0.45040249824523926,56867,0.975156320721506
MD-gt,AP12,1119,0.9570551165989571,1.0910481214523315,0.006601214408874512,59376,0.9744557938390538
MD-gt,AP12,1128,0.9548232878250685,1.2518465518951416,0.4901289939880371,58931,0.9771856948140456
MD-gt,AP12,1134,0.9519694034669448,1.2148916721343994,-0.38683414459228516,57199,0.9699405159738003
MD-gt,AP12,1144,0.9453815537828012,1.5187561511993408,0.03966689109802246,54535,0.9593919200333194
MD-gt,AP12,1151,0.9344164420241348,1.2311041355133057,-0.28893351554870605,51345,0.9568265007320644
MD-gt,AP12,1157,0.9330608573216521,1.3685524463653564,-0.34621357917785645,47413,0.9627695484690838
MD-gt,AP12,1164,0.9214275161977925,1.7093122005462646,0.12442469596862793,42721,0.9627681362509432
MD-gt,AP12,1173,0.9152569716524545,1.2652873992919922,0.4572868347167969,38742,0.9779835292997572
MD-gt,AP12,1178,0.9050469677968909,1.7208456993103027,0.9652525186538696,36482,0.9715698998457282
MD-gt,AP12,1184,0.8877596842428683,2.0542144775390625,1.1029839515686035,35691,0.9691583255263547
MD-gt,AP12,1190,0.9067396411013974,2.1186769008636475,0.9247064590454102,35429,0.9746444962756753
MD-gt,AP12,1196,0.905503709021297,2.0098090171813965,0.1488029956817627,36229,0.9784590921513578
MD-gt,AP12,1199,0.9063072058578798,2.341926097869873,1.1450648307800293,37081,0.9816379992091736
MD-gt,AP12,1204,0.9030141383624047,2.2240281105041504,1.0095834732055664,37149,0.9735392749614471
MD-gt,AP12,1211,0.917956765112303,1.7519593238830566,0.9412765502929688,38385,0.9738478596220594
MD-gt,AP12,1219,0.9164271000746995,1.7895102500915527,1.4092326164245605,39891,0.9791476728148304
MD-gt,AP12,1229,0.9160476583497345,1.3787001371383667,0.8671730756759644,42410,0.9765319710961207
MD-gt,AP12,1235,0.9247313975316531,1.461118459701538,1.1071860790252686,45458,0.9781412914083987
MD-gt,AP12,1241,0.9243362171837709,1.636803150177002,1.3254284858703613,48879,0.9803891468703227
MD-gt,AP12,1245,0.9156756948635121,1.408904790878296,0.6232410669326782,51194,0.9790784238223591
MD-gt,AP12,1248,0.9274706752433697,1.254051923751831,0.9762346744537354,53519,0.9816278535179389
MD-gt,AP12,1252,0.9258223112450131,1.9892454147338867,1.7696022987365723,54721,0.9846634139684056
MD-gt,AP12,1257,0.9293426967190824,1.0401755571365356,0.6508976221084595,55922,0.9776830368123309
MD-gt,AP12,1261,0.9296606909286759,1.8308758735656738,1.6716420650482178,57777,0.9777150427404346
MD-gt,AP12,1266,0.9313482093745818,1.0542720556259155,0.4785805940628052,58832,0.9721294553403363
MD-gt,AP12,1270,0.9312115139902587,1.1072605848312378,0.4318505525588989,59186,0.9692901994123525
MD-gt,AP12,1277,0.9348445614593429,1.4673322439193726,1.0346323251724243,59152,0.980601214275137
MD-gt,AP12,1283,0.9370667744916821,1.347869634628296,0.7485449314117432,61773,0.9838497374842861
MD-gt,AP12,1293,0.9531835205992509,1.3154447078704834,-0.18593668937683105,63667,0.9888522185551889
MD-gt,AP12,1300,0.9541684790488618,1.5129446983337402,-0.5006492137908936,64485,0.9875390786291511
MD-gt,AP12,1334,0.9514044737807114,1.546025276184082,0.32964348793029785,60805,0.9882679977881066
MD-gt,AP12,1342,0.9547886259231261,1.6660988330841064,0.3148019313812256,62210,0.9913513513513513
MD-gt,AP12,1349,0.9570329510814342,1.7243623733520508,0.31261146068573,61084,0.9882902945123659
MD-gt,AP12,1356,0.9472327981817392,1.6693174839019775,0.2942383289337158,61543,0.9861055740125507
MD-gt,AP12,1363,0.9485436751600718,1.6050934791564941,0.7823705673217773,60976,0.9831960216729756
MD-gt,AP12,1369,0.9476781636118756,1.644909381866455,0.6009936332702637,61022,0.9795560052374718
MD-gt,AP12,1373,0.9468598327583182,1.429438591003418,1.056283712387085,61839,0.975069334242959
MD-gt,AP12,1378,0.9429999854665949,1.387178897857666,0.8849501609802246,63241,0.9733719076577906
MD-gt,AP12,1381,0.9439183211752933,1.4557689428329468,0.9340196847915649,63744,0.9730768098448495
MD-gt,AP12,1387,0.9447610506827123,1.1832565069198608,0.8301436901092529,63808,0.9721745507884122
MD-gt,AP12,1391,0.9432330227908257,1.0779798030853271,0.613778829574585,63641,0.9682139031155071
MD-gt,AP12,1396,0.9355387387387387,1.2407898902893066,0.3672689199447632,63990,0.9676450331902173
MD-gt,AP12,1401,0.9344839985616684,1.013234257698059,0.24557113647460938,64118,0.9669338091198924
MD-gt,AP12,1405,0.9305049751957102,1.1624842882156372,-0.15278160572052002,64202,0.9651327407796605
MD-gt,AP12,1411,0.9324359269049535,1.1001825332641602,0.2047121524810791,64342,0.9650417074489065
MD-gt,AP12,1421,0.9317740486334521,1.0508298873901367,0.12791156768798828,63665,0.9605259287584199
MD-gt,AP12,1434,0.9409823673920311,1.28898024559021,0.634223222732544,63922,0.9658726185919142
MD-gt,AP12,1598,0.9182758010836536,2.042412757873535,1.0052919387817383,56341,0.9411525445789405
MD-gt,AP12,1615,0.9110087252966095,1.6622543334960938,0.29602646827697754,52902,0.9237682636765205
MD-gt,SM1,0000,0.7969944634853677,2.171799659729004,-0.4337728023529053,21086,0.7990950226244344
MD-gt,SM1,0003,0.7582252451755773,2.3476033210754395,-0.24512410163879395,19070,0.7610805244187429
MD-gt,SM1,0008,0.729733105716784,1.748800277709961,-0.08109211921691895,17309,0.7326910243576911
MD-gt,SM1,0012,0.7112592802761621,1.3909339904785156,0.007539987564086914,14709,0.7218442213446258
MD-gt,SM1,0016,0.6575619363532704,1.3130754232406616,-0.3837496042251587,12514,0.678440222525454
MD-gt,SM1,0023,0.5901439251385852,0.6238818168640137,0.2827942371368408,11445,0.6216482547585707
MD-gt,SM1,0028,0.5763066202090592,0.7611513137817383,0.5472302436828613,11423,0.5987479806138933
MD-gt,SM1,0045,0.4814145793192036,2.156168222427368,0.22992491722106934,11837,0.5189117998106763
MD-gt,SM1,0051,0.47333860759493673,2.15226411819458,0.3172457218170166,11803,0.5031883122124465
MD-gt,SM1,0060,0.4531429039122606,2.44748592376709,0.4148930311203003,10980,0.4756067154255319
MD-gt,SM1,0063,0.4660596366022723,2.3568570613861084,0.7400810718536377,11262,0.4936899289594651
MD-gt,SM1,0064,0.47324304236518294,2.4194717407226562,0.9044408798217773,11355,0.5016414141414142
MD-gt,SM1,0066,0.47986991602173557,2.540886402130127,0.5427002906799316,11453,0.5166434628528035
MD-gt,SM1,0068,0.48929421094369546,2.4812519550323486,0.5514770746231079,11552,0.5107968498602761
MD-gt,SM1,0071,0.48708125824713744,2.2538304328918457,0.4422217607498169,11358,0.5073564309444708
MD-gt,SM1,0074,0.5029023519800491,1.8963366746902466,0.2419501543045044,11534,0.523736867343825
MD-gt,SM1,0077,0.5097004034681089,2.0318329334259033,0.4686713218688965,11683,0.5300591613015486
MD-gt,SM1,0081,0.514413918638615,1.9809305667877197,0.1640915870666504,11939,0.535935085007728
MD-gt,SM1,0085,0.5171451524248446,1.8216371536254883,0.15932321548461914,12089,0.5350588235294118
MD-gt,SM1,0088,0.5097194015003937,2.091735601425171,-0.13449788093566895,12185,0.5261018937489526
MD-gt,SM1,0091,0.5060589767980479,1.8447339534759521,0.25062263011932373,12146,0.5232577595582699
MD-gt,SM1,0095,0.5001845396760304,2.2409260272979736,0.168532133102417,12115,0.5191229600099664
MD-gt,SM1,0098,0.5035648052750876,2.134174108505249,0.10353326797485352,12133,0.51978671998667
MD-gt,SM1,0101,0.5030087755954868,2.048030376434326,-0.022977590560913086,11966,0.5165710912464159
MD-gt,SM1,0103,0.5051849363953147,2.0637810230255127,0.15375018119812012,11971,0.5198609521387088
MD-gt,SM1,0105,0.508318628686665,1.7735064029693604,0.2785027027130127,11986,0.5245880754204179
MD-gt,SM1,0108,0.5151710227028883,2.0081698894500732,0.2415180206298828,11907,0.5335997567438425
MD-gt,SM1,0111,0.5335283428622081,2.1015405654907227,0.13802945613861084,11824,0.5486975203652315
MD-gt,SM1,0113,0.5429379304054363,1.9344538450241089,0.3695487976074219,11714,0.5576427255985267
MD-gt,SM1,0116,0.5519492631971648,1.9020438194274902,0.5466938018798828,11627,0.5672977300555713
MD-gt,SM1,0118,0.5491192251080196,1.8431693315505981,0.1379251480102539,11474,0.5621738089537945
MD-gt,SM1,0120,0.5455277619859769,2.2347569465637207,0.5081444978713989,11448,0.5627035830618893
MD-gt,SM1,0123,0.5372124492557511,2.0771920680999756,0.06797909736633301,11437,0.5557234605213449
MD-gt,SM1,0125,0.5330519748612321,1.9657313823699951,0.7344633340835571,11566,0.5436740727054368
MD-gt,SM1,0127,0.5286604221754134,2.198502540588379,1.1133700609207153,11730,0.5425560781476122
MD-gt,SM1,0129,0.5263462137044778,1.9293725490570068,0.9969770908355713,11787,0.531453555813331
MD-gt,SM1,0131,0.519143298741444,1.8521249294281006,0.3616213798522949,11665,0.526084642001597
MD-gt,SM1,0134,0.4859246993202022,1.7385482788085938,0.18987059593200684,11125,0.5106769448874712
MD-gt,SM1,0137,0.47492587340466674,1.511693000793457,0.47320127487182617,11040,0.49607706390027023
MD-gt,SM1,0141,0.4510740866035183,1.4888942241668701,-0.012263655662536621,10644,0.483378723036355
MD-gt,SM1,0144,0.4562971118827814,1.4864951372146606,0.5216151475906372,10702,0.47871517027863775
MD-gt,SM1,0150,0.480626996133804,1.7938464879989624,0.29966235160827637,11422,0.49615694933967475
MD-gt,SM1,0152,0.5071017923571187,2.0209102630615234,0.3974735736846924,11968,0.5168481960517358
MD-gt,SM1,0154,0.5377431906614786,1.886904239654541,0.3081858158111572,12355,0.5458970792767733
MD-gt,SM1,0156,0.5815570396121124,1.885056495666504,0.12640655040740967,12638,0.5924834193072955
MD-gt,SM1,0157,0.6234960383449085,1.8119663000106812,-0.19399821758270264,12690,0.6316358631537554
MD-gt,SM1,0159,0.6856071054228499,1.730203628540039,-0.6258636713027954,12310,0.6969343552149283
MD-gt,SM1,0162,0.8516717325227964,2.3442208766937256,-0.9759366512298584,10452,0.8607208307880269
MD-gt,SM1,0164,0.915050048719993,1.453995704650879,-0.36801397800445557,9760,0.9870404411764706
MD-gt,SM1,0166,0.874101553443079,1.4817416667938232,-0.24875998497009277,10553,0.8862009956440573
MD-gt,SM1,0168,0.8439780432676784,1.947253942489624,-0.605851411819458,12723,0.8679837760041869
MD-gt,SM1,0170,0.8675854849965108,1.7135441303253174,-0.21436810493469238,14619,0.8798290798407867
MD-gt,SM1,0172,0.8869348097486837,1.5565156936645508,-0.006616115570068359,16083,0.9105798296235229
MD-gt,SM1,0174,0.8805442041263829,1.6882866621017456,0.10097026824951172,17498,0.9071565753563126
MD-gt,SM1,0176,0.8892143938284264,1.5858113765716553,0.28401613235473633,18012,0.9123708792566599
MD-gt,SM1,0178,0.8760626611901805,1.5905499458312988,0.010281801223754883,18168,0.9167073289743339
MD-gt,SM1,0180,0.8783704284733798,1.7881393432617188,-0.1067817211151123,17791,0.9197815412365968
MD-gt,SM1,0183,0.8613034623217922,1.7229020595550537,-0.011861324310302734,16743,0.9139267015706807
MD-gt,SM1,0186,0.8469732124024467,1.9282996654510498,0.0781714916229248,15985,0.9099187523856263
MD-gt,SM1,0189,0.8065051088642807,2.578258514404297,0.18599629402160645,15003,0.8783513182778953
MD-gt,SM1,0194,0.852742436233031,2.2110939025878906,-0.5490481853485107,13893,0.919462663975782
MD-gt,SM1,0198,0.8355372961869303,1.8247514963150024,-0.14357268810272217,12938,0.9243556093949795
MD-gt,SM1,0204,0.8195406239286939,2.1944193840026855,-0.7506906986236572,11864,0.9133381398702235
MD-gt,SM1,0213,0.8468429102031899,1.6582310199737549,0.8389651775360107,15387,0.8926392387349567
MD-gt,SM1,0216,0.8709118695873663,1.642286777496338,0.5766153335571289,16965,0.9089349758303447
MD-gt,SM1,0219,0.8852528486674828,1.779615879058838,0.303417444229126,18723,0.9120821394460363
MD-gt,SM1,0223,0.9006073752711496,1.4866888523101807,-0.053942203521728516,20747,0.9333186231244484
MD-gt,SM1,0225,0.9172739317654852,1.3971328735351562,-0.010699033737182617,22145,0.9493979961269681
MD-gt,SM1,0228,0.9235106548452325,1.302376389503479,0.017076730728149414,23730,0.9666428117048346
MD-gt,SM1,0230,0.9518531086227048,1.0368824005126953,-0.2996772527694702,25218,0.9755390192711315
MD-gt,SM1,0232,0.9467000404903008,0.9638667106628418,-0.36156177520751953,25639,0.9777860882572924
MD-gt,SM1,0234,0.9483412322274881,1.0687708854675293,-0.17660856246948242,25977,0.9780516692575321
MD-gt,SM1,0236,0.9386097333045791,1.1333823204040527,-0.29931962490081787,26008,0.9756776556776556
MD-gt,SM1,0238,0.9313546912389729,1.1112987995147705,-0.31688809394836426,25991,0.967330010550442
MD-gt,SM1,0241,0.9307763598773794,1.14518404006958,-0.29414892196655273,26065,0.9527019719528462
