model,seq,kf,iou,absdiff_med_mm,signed_med_mm,n_px,occ_ratio
MD-prior,AP12,0000,0.8611103353905443,2.0588934421539307,-1.413971185684204,59063,0.8611103353905443
MD-prior,AP12,0023,0.8675528229996536,2.328544855117798,-1.80894136428833,56984,0.868496671624334
MD-prior,AP12,0044,0.8926621135559406,2.38560152053833,-0.18614530563354492,57980,0.8971929875779118
MD-prior,AP12,0050,0.9092462929367138,2.2192299365997314,-1.4977753162384033,57585,0.9125726558627837
MD-prior,AP12,0066,0.9114875883312195,2.1307170391082764,-0.5975067615509033,58335,0.9170162181807169
MD-prior,AP12,0075,0.8960667461263409,2.4111568927764893,-0.33226609230041504,58305,0.9062340852580809
MD-prior,AP12,0077,0.8798860297391149,2.0287632942199707,0.1920163631439209,57541,0.8934293913667344
MD-prior,AP12,0081,0.8722834438249111,2.3363828659057617,-0.1869499683380127,57489,0.8886182462356067
MD-prior,AP12,0086,0.8645429243038231,2.626866102218628,-0.7482469081878662,58205,0.8780849178565722
MD-prior,AP12,0089,0.8588812980358668,2.2505223751068115,0.8072555065155029,58783,0.8721778644228151
MD-prior,AP12,0094,0.8605605113436819,2.3648738861083984,-0.354275107383728,60018,0.8715502988681165
MD-prior,AP12,0099,0.8540145985401459,2.5480687618255615,-0.49039721488952637,60565,0.8700213743870581
MD-prior,AP12,0103,0.8564413005033329,2.7531683444976807,-0.39523839950561523,62067,0.8673134287512657
MD-prior,AP12,0108,0.8568896588486141,2.5626869201660156,-0.42544305324554443,62456,0.8677667117944319
MD-prior,AP12,0114,0.8638934977724939,2.7576982975006104,-0.5336105823516846,62610,0.8698786337780807
MD-prior,AP12,0120,0.8677642604034744,2.978384494781494,-1.2848377227783203,62473,0.8711872661096017
MD-prior,AP12,0127,0.8597396402164225,3.607243299484253,-1.8997490406036377,61771,0.8626390897089332
MD-prior,AP12,0134,0.8475284231339595,3.7233681678771973,-2.0825564861297607,61326,0.8516013970424314
MD-prior,AP12,0180,0.8533263103739726,3.5199522972106934,-1.3678669929504395,68525,0.8692858907832963
MD-prior,AP12,0187,0.8400146977769612,2.8995871543884277,-1.0901689529418945,67297,0.854529294126361
MD-prior,AP12,0190,0.8425800193986421,2.577275037765503,-1.0858774185180664,67903,0.8564448353366559
MD-prior,AP12,0195,0.8519660755589823,2.8282105922698975,-0.4944652318954468,68092,0.8577637006482027
MD-prior,AP12,0202,0.8559667257936265,2.2809207439422607,-0.2613663673400879,67360,0.8645200934005162
MD-prior,AP12,0205,0.8595702630722696,2.0411312580108643,-0.5187839269638062,68840,0.8615668580803938
MD-prior,AP12,0209,0.8569810420889472,2.385646104812622,-1.745074987411499,68965,0.8596639959880118
MD-prior,AP12,0212,0.8570973338526361,1.9747614860534668,-0.9709596633911133,69197,0.8612931462774137
MD-prior,AP12,0214,0.8594044873139023,2.009883403778076,-0.5666762590408325,70720,0.8620725860077696
MD-prior,AP12,0219,0.8564747658779432,2.2080092430114746,-0.3393590450286865,70854,0.8565824900194968
MD-prior,AP12,0223,0.8650321352059034,3.114670515060425,0.5773603916168213,69573,0.8656094482939257
MD-prior,AP12,0226,0.8753615851894706,2.3048222064971924,0.28714537620544434,68309,0.8791212772638342
MD-prior,AP12,0228,0.891115176386245,2.6221275329589844,-0.3646165132522583,67506,0.9017638503896879
MD-prior,AP12,0233,0.8882718905856343,2.2021830081939697,-0.37348270416259766,66386,0.9144555074805818
MD-prior,AP12,0238,0.8780692880696822,2.294093370437622,-0.7547736167907715,64510,0.927681436931956
MD-prior,AP12,0241,0.857199989335324,2.488508701324463,-1.8721073865890503,62346,0.9439893951022117
MD-prior,AP12,0243,0.8424658457969764,2.5062859058380127,-1.890331506729126,61349,0.9480536147155283
MD-prior,AP12,0245,0.8249069909489699,3.875166177749634,-3.7978739738464355,58820,0.9272122207236263
MD-prior,AP12,0248,0.8221018010055493,2.2438764572143555,-1.221194863319397,56442,0.9329234552720566
MD-prior,AP12,0251,0.8153771532717973,2.116546154022217,-1.1578500270843506,55260,0.9386742846379632
MD-prior,AP12,0255,0.8161570786842487,2.356618642807007,-0.12201070785522461,56073,0.9417022990642623
MD-prior,AP12,0260,0.8076013872177791,2.116680145263672,-0.8393824100494385,56767,0.9531661058427654
MD-prior,AP12,0263,0.805585957523448,2.5604665279388428,-1.091986894607544,56875,0.9665474627676429
MD-prior,AP12,0266,0.803332378106194,2.6433467864990234,-1.7123222351074219,57499,0.9666349187451634
MD-prior,AP12,0270,0.7924226832042464,3.2161026000976562,-2.544656276702881,56518,0.9685329764294743
MD-prior,AP12,0276,0.7911325002359094,2.7208328247070312,-1.843959093093872,55391,0.9798539710922366
