estimator,rot0,trans0,rot,trans,success,strict,improved,worsened,fail,loftr_success,loftr_inliers,fitness,rmse,t_render,t_vggt,t_loftr,t_icp,iou_P0,occ_ratio,render_px,icp_fitness,icp_rmse,T1_rot,T1_trans,s_spread,init_0,init_1,init_2,init_3,init_4,init_5,init_6,init_7,init_8,init_9,init_10,init_11,init_12,init_13,init_14,init_15,est_0,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,est_11,est_12,est_13,est_14,est_15,seq,kf
E-V2,10.00000000000027,75.14336590524844,1.2776595367018067,6.168186367226618,1,1,1,0,,,,,,0.0017688274383544922,0.4623908996582031,0.0,0.0,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9658308360692245,0.05655740431311745,0.2529270259258604,-0.16695136521352932,-0.07001888928618763,0.9965510386650013,0.04453481687279158,-0.040142204223067565,-0.24953593277117125,-0.0607227650122797,0.9664598064535485,-0.3913863677584998,0.0,0.0,0.0,1.0,AP12,0044
E-L,10.00000000000027,75.14336590524844,0.10938786186862225,0.8172335833609847,1,1,1,0,,1.0,799.0,,,0.0,0.0,0.28528833389282227,0.0,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9606705423054926,0.04868162698720957,0.2733902125906268,-0.171682878821385,-0.06194419511842315,0.9972743135536353,0.0400856609931367,-0.03867724510487175,-0.27069360139759535,-0.055444050357131514,0.961067599829687,-0.3865906240039155,0.0,0.0,0.0,1.0,AP12,0044
E-I,10.00000000000027,75.14336590524844,0.01856531165078444,0.1687520499328873,1,1,1,0,,,,0.9871872565145875,0.0008952249696784234,0.0,0.0,0.0,0.05594944953918457,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9610877047291824,0.04791404463353926,0.2720563694259809,-0.17105975103514326,-0.06112253377477214,0.9973171522710067,0.04028068583081623,-0.038753126207178655,-0.26939647303434056,-0.05534204651893782,0.9614378805745867,-0.38677470352271903,0.0,0.0,0.0,1.0,AP12,0044
E-V5b,10.00000000000027,75.14336590524844,3.8137211261391077,20.37556354240905,0,0,1,0,,,,,,0.006404876708984375,0.8944101333618164,0.0,0.0,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9755958354727217,0.06449656887998981,0.20988792692469838,-0.15420583669631116,-0.07601440270482251,0.9959855661545645,0.04727134620651998,-0.042100022110467636,-0.2059965013229716,-0.06207223737165858,0.9765820344553167,-0.3980352300052652,0.0,0.0,0.0,1.0,AP12,0044
E-V5d,10.00000000000027,75.14336590524844,3.511414130999642,20.58345919955226,0,0,1,0,,,,,,0.006404876708984375,0.8944101333618164,0.0,0.0,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9745615679576998,0.06313544548994188,0.2150433660326509,-0.15441724117724323,-0.07510492101546817,0.9960224069355865,0.04794406428763452,-0.042829444812703496,-0.21116103633644667,-0.0628752609765485,0.9754269370315437,-0.3984817437846636,0.0,0.0,0.0,1.0,AP12,0044
E-V5x2,10.00000000000027,75.14336590524844,0.2895109268223564,7.022763222799529,1,1,1,0,,,,,,0.013086795806884766,1.7879421710968018,0.0,0.0,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9613921850936864,0.048129394666321657,0.27094031538216373,-0.17239064713742694,-0.06257490251565254,0.9970285305320428,0.04492738437279692,-0.039667077817497516,-0.2679729005853141,-0.06014689326010837,0.961547136430839,-0.39367363318147314,0.0,0.0,0.0,1.0,AP12,0044
E-VI,10.00000000000027,75.14336590524844,0.0,0.030827978571968263,1,1,1,0,,,,0.998268548177647,0.0008352087306046444,0.0,0.0,0.0,0.05219864845275879,0.933028204234424,0.9905580872713653,64076,0.9871872565145875,0.0008952249696784234,0.3279615499528427,3.4995985740734326,0.007672781945037037,0.9001034378160435,0.1128249292136603,0.42081389779767475,-0.23906667206032017,-0.1370106414973937,0.9901855463434949,0.027580209007667826,-0.030344256728543212,-0.41357210417073753,-0.08248102303176486,0.9067276302679993,-0.3563454592280619,0.0,0.0,0.0,1.0,0.9611580241482749,0.04781081097305465,0.271826057723618,-0.1709439786220187,-0.060992743875561764,0.9973263739415995,0.040248825429532765,-0.03880700369008015,-0.2691749714257943,-0.055264892013583325,0.9615043662606495,-0.38685212211271613,0.0,0.0,0.0,1.0,AP12,0044
E-V2,10.000000000000124,71.90595392976789,0.6100478200143746,4.009201514449414,1,1,1,0,,,,,,0.0013532638549804688,0.3120598793029785,0.0,0.0,0.863453098266756,0.9908446450710494,62914,0.9910542596772846,0.0008587017109350448,0.24857400946659752,3.0139473119231246,0.008183238166754791,0.8068787282480766,-0.19093481031074117,0.5590086011076814,-0.25529247929537513,0.09821583804497663,0.9765128121328672,0.19177167908083323,-0.0989103593910838,-0.5824949502423937,-0.09983299029859993,0.8066802383783499,-0.3396916745568631,0.0,0.0,0.0,1.0,0.8871785014679158,-0.1539072364151462,0.43500217355366766,-0.1961966878026266,0.053392292567257256,0.9706419347364923,0.23452832153114211,-0.12044976296824642,-0.4583269418660967,-0.18484272578832958,0.869350114417405,-0.3679312340215872,0.0,0.0,0.0,1.0,AP12,0077
E-L,10.000000000000124,71.90595392976789,0.13556689806280298,1.0722147056812776,1,1,1,0,,1.0,707.0,,,0.0,0.0,0.19466781616210938,0.0,0.863453098266756,0.9908446450710494,62914,0.9910542596772846,0.0008587017109350448,0.24857400946659752,3.0139473119231246,0.008183238166754791,0.8068787282480766,-0.19093481031074117,0.5590086011076814,-0.25529247929537513,0.09821583804497663,0.9765128121328672,0.19177167908083323,-0.0989103593910838,-0.5824949502423937,-0.09983299029859993,0.8066802383783499,-0.3396916745568631,0.0,0.0,0.0,1.0,0.8908988349066514,-0.1508153555655829,0.428432018513553,-0.19333209791937309,0.05058844374570312,0.9703425342790268,0.2363814195920305,-0.12047813834935306,-0.4513757584555893,-0.188918222240689,0.8721065473805711,-0.3664636007462298,0.0,0.0,0.0,1.0,AP12,0077
E-I,10.000000000000124,71.90595392976789,0.011833293148500703,0.03467034752407176,1,1,1,0,,,,0.9910542596772846,0.0008587017109350448,0.0,0.0,0.0,0.060279130935668945,0.863453098266756,0.9908446450710494,62914,0.9910542596772846,0.0008587017109350448,0.24857400946659752,3.0139473119231246,0.008183238166754791,0.8068787282480766,-0.19093481031074117,0.5590086011076814,-0.25529247929537513,0.09821583804497663,0.9765128121328672,0.19177167908083323,-0.0989103593910838,-0.5824949502423937,-0.09983299029859993,0.8066802383783499,-0.3396916745568631,0.0,0.0,0.0,1.0,0.8917986836069859,-0.15101294295451673,0.42648587195481813,-0.1923708503003323,0.05120973250941234,0.9702850911632761,0.23648341413847115,-0.12057035897326947,-0.44952493947851274,-0.18905537000172437,0.8730322994370545,-0.36684526980075527,0.0,0.0,0.0,1.0,AP12,0077
